Date	Score	Player	Game	Win	SessionID	Notes
3/29/2013	494	Sam	Modern Art	TRUE	2013032901	
3/27/2013	456	Sable	Modern Art	FALSE	2013032701	
3/27/2013	498	Ryan	Modern Art	TRUE	2013032701	
3/27/2013	448	Keith	Modern Art	FALSE	2013032701	
3/27/2013	407	Chris/Sam	Modern Art	FALSE	2013032701	
3/27/2013	354	silvio	Modern Art	FALSE	2013032701	
3/20/2013	378	silvio	Modern Art	FALSE	2013032001	
3/20/2013	399	Sam	Modern Art	FALSE	2013032001	
3/20/2013	430	Keith	Modern Art	TRUE	2013032001	
3/20/2013	397	Chris	Modern Art	FALSE	2013032001	
3/20/2013	370	Sable	Modern Art	FALSE	2013032001	
3/1/2013	475	Sam	Modern Art	FALSE	2013030101	
3/1/2013	409	Sable	Modern Art	TRUE	2013030101	
3/1/2013	280	Keith	Modern Art	FALSE	2013030101	
3/1/2013	360	Ryan	Modern Art	FALSE	2013030101	
3/1/2013	292	Jack	Modern Art	FALSE	2013030101	
2/20/2013	470	Sam	Modern Art	FALSE	2013022001	
2/20/2013	544	Ryan	Modern Art	TRUE	2013022001	
2/20/2013	514	Keith	Modern Art	FALSE	2013022001	
2/20/2013	398	Sable	Modern Art	FALSE	2013022001	
9/11/2012	332	Sam	Modern Art	FALSE	2012091101	
9/11/2012	496	Chris	Modern Art	FALSE	2012091101	
9/11/2012	355	Sable	Modern Art	FALSE	2012091101	
9/11/2012	500	Ryan	Modern Art	TRUE	2012091101	
9/11/2012	456	Keith	Modern Art	FALSE	2012091101	
8/15/2012	438	Sam	Modern Art	FALSE	2012081501	
8/15/2012	550	Jake	Modern Art	TRUE	2012081501	
8/15/2012	355	Satvik	Modern Art	FALSE	2012081501	
8/15/2012	383	Keith	Modern Art	FALSE	2012081501	
8/15/2012	474	Ryan	Modern Art	FALSE	2012081501	
8/1/2012	382	Chris	Modern Art	FALSE	2012080101	
8/1/2012	355	Keith	Modern Art	FALSE	2012080101	
8/1/2012	362	Ben	Modern Art	FALSE	2012080101	
8/1/2012	361	Sam	Modern Art	FALSE	2012080101	
8/1/2012	400	Ryan	Modern Art	TRUE	2012080101	
6/29/2012	535	Sam	Modern Art	FALSE	2012062901	
6/29/2012	538	Ben	Modern Art	TRUE	2012062901	
6/29/2012	419	Ryan	Modern Art	FALSE	2012062901	
6/29/2012	360	Sable	Modern Art	FALSE	2012062901	
6/29/2012	454	Keith	Modern Art	FALSE	2012062901	
6/18/2012	500	Sam	Modern Art	TRUE	2012061801	
6/18/2012	228	Chris	Modern Art	FALSE	2012061801	
6/18/2012	225	Keith	Modern Art	FALSE	2012061801	
6/18/2012	354	Sable	Modern Art	FALSE	2012061801	
6/18/2012	430	Ryan	Modern Art	FALSE	2012061801	
5/4/2012	450	Sam	Modern Art	FALSE	2012050401	
5/4/2012	452	Ethan	Modern Art	FALSE	2012050401	
5/4/2012	514	Jake	Modern Art	TRUE	2012050401	
5/4/2012	384	Ryan	Modern Art	FALSE	2012050401	
5/4/2012	421	Ben	Modern Art	FALSE	2012050401	
4/13/2012	390	James	Modern Art	FALSE	2012041301	
4/13/2012	504	Ben	Modern Art	TRUE	2012041301	
4/13/2012	367	Ethan	Modern Art	FALSE	2012041301	
4/13/2012	272	Keith	Modern Art	FALSE	2012041301	
4/13/2012	441	Chris	Modern Art	FALSE	2012041301	
4/12/2012	391	Sam	Modern Art	FALSE	2012041201	
4/12/2012	598	Keith	Modern Art	TRUE	2012041201	
4/12/2012	351	Chris	Modern Art	FALSE	2012041201	
4/12/2012	452	Ryan	Modern Art	FALSE	2012041201	
4/5/2012	299	Sam	Modern Art	FALSE	2012040501	
4/5/2012	429	Ryan	Modern Art	FALSE	2012040501	
4/5/2012	392	Jake	Modern Art	FALSE	2012040501	
4/5/2012	440	Keith	Modern Art	TRUE	2012040501	
4/5/2012	281	Chris	Modern Art	FALSE	2012040501	
3/29/2012	229	Keith	Modern Art	FALSE	2012032902	
3/29/2012	401	Ethan	Modern Art	FALSE	2012032902	
3/29/2012	525	Jake	Modern Art	TRUE	2012032902	
3/29/2012	412	Isaac	Modern Art	FALSE	2012032902	
3/29/2012	503	Bill	Modern Art	FALSE	2012032902	
3/27/2012	326	Keith	Modern Art	FALSE	2012032701	
3/27/2012	356	Sam	Modern Art	FALSE	2012032702	
3/27/2012	393	Ryan	Modern Art	FALSE	2012032702	
3/27/2012	424	Ben	Modern Art	FALSE	2012032702	
3/27/2012	479	Jake	Modern Art	TRUE	2012032702	
3/26/2012	513	Sam	Modern Art	FALSE	2012032601	
3/26/2012	340	Ryan	Modern Art	FALSE	2012032601	
3/26/2012	522	Ben	Modern Art	TRUE	2012032601	
3/26/2012	333	Jake	Modern Art	FALSE	2012032601	
3/26/2012	472	Chris	Modern Art	FALSE	2012032601	
3/20/2012	498	Ethan	Modern Art	TRUE	2012032001	
3/20/2012	452	Jake	Modern Art	FALSE	2012032001	
3/20/2012	350	Keith	Modern Art	FALSE	2012032001	
3/20/2012	347	Ben	Modern Art	FALSE	2012032001	
3/20/2012	453	Chris	Modern Art	FALSE	2012032001	
3/19/2012	314	Sam	Modern Art	FALSE	2012031901	
3/19/2012	354	Ben	Modern Art	FALSE	2012031901	
3/19/2012	255	Chris	Modern Art	FALSE	2012031901	
3/19/2012	602	Keith	Modern Art	TRUE	2012031901	
3/19/2012	569	Jake	Modern Art	FALSE	2012031901	
3/16/2012	496	Sam	Modern Art (3 player)	FALSE	2012031601	
3/16/2012	586	Keith	Modern Art (3 player)	FALSE	2012031601	
3/16/2012	742	Jake	Modern Art (3 player)	TRUE	2012031601	
3/14/2012	372	Ben	Modern Art	FALSE	2012031401	
3/14/2012	411	Jake	Modern Art	FALSE	2012031401	
